index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	सः		सः	तद्{सर्वनाम;पुं;1;एक}	तद्{सर्वनाम;पुं;1;एक}	समुच्चितः,8.1	विशेषणम्,4.1#विशेषणम्,3.2#सुप्_समुच्चितः,8.1#सुप्_समुच्चितः,5.1	N1	वह	वह
2.1	च		च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,1.1	सम्बन्धः,1.1;समुच्चय_द्योतकः,1.1	NA	च1	च1
3.1	पौर-		पौर-जनः	पौर	पौर	समासः,3.2	समासः,3.2	CP	पौर-	पौर-
3.2	जनः		--	जन{पुं;1;एक}/जनस्{पुं;8;एक}	जन{पुं;1;एक}	समुच्चितः,8.1	विशेषणम्,4.1#विशेषणम्,1.1#सुप्_समुच्चितः,8.1#सुप्_समुच्चितः,5.1	N1	जन	जन
4.1	सर्वः		सर्वः	सर्व{सर्वनाम;पुं;1;एक}	सर्व{सर्वनाम;पुं;1;एक}	विशेषणम्,3.2	विशेषणम्,3.2#विशेषणम्,1.1#सुप्_समुच्चितः,8.1#सुप्_समुच्चितः,5.1	N1	सब	सब
5.1	ये		ये	यद्{सर्वनाम;पुं;1;बहु}/यद्{सर्वनाम;नपुं;1;द्वि}/यद्{सर्वनाम;नपुं;2;द्वि}/यद्{सर्वनाम;स्त्री;1;द्वि}/यद्{सर्वनाम;स्त्री;2;द्वि}	यद्{सर्वनाम;पुं;1;बहु}	विशेषणम्,7.2	सुप्_समुच्चितः,8.1#विशेषणम्,7.2	N1	जो	जो
6.1	च		च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,7.2	सुप्_समुच्चय_द्योतकः,5.1#सम्बन्धः,5.1#समुच्चय_द्योतकः,7.2	NA	च2	च2
7.1	राष्ट्र-		राष्ट्र-निवासिनः	राष्ट्र	राष्ट्र	समासः,7.2	समासः,7.2	CP	राष्ट्र-	राष्ट्र-
7.2	निवासिनः		--	निवासिन्{पुं;1;बहु}/निवासिन्{पुं;2;बहु}/निवासिन्{पुं;5;एक}/निवासिन्{पुं;6;एक}/निवासिन्{पुं;8;बहु}	निवासिन्{पुं;1;बहु}	समुच्चितः,8.1	षष्ठीसम्बन्धः,11.1#षष्ठीसम्बन्धः,10.2#षष्ठीसम्बन्धः,8.1#षष्ठीसम्बन्धः,3.2#हेतुः5,13.1#सुप्_समुच्चितः,8.1#विशेषणम्,5.1#कर्ता,13.1	N1	निवासी_की	निवासी_की
8.1	स्त्रियः		स्त्रियः	स्त्री{स्त्री;1;बहु}/स्त्री{स्त्री;2;बहु}/स्त्री{स्त्री;8;बहु}	स्त्री{स्त्री;1;बहु}	कर्ता,13.1	कर्ता,13.1	N1	स्त्रियों_ने	स्त्रियों_ने
9.1	च		च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,8.1	सुप्_समुच्चय_द्योतकः,8.1#सम्बन्धः,8.1	NA	च2	च2
10.1	कुरु-		कुरु-मुख्यानाम्	कुरु	कुरु	समासः,10.2	समासः,10.2	CP	कुरु-	कुरु-
10.2	मुख्यानाम्		--	मुख्य{पुं;6;बहु}/मुख्य{नपुं;6;बहु}/मुख्या{स्त्री;6;बहु}	मुख्य{पुं;6;बहु}	षष्ठीसम्बन्धः,8.1	षष्ठीसम्बन्धः,11.1#षष्ठीसम्बन्धः,8.1#षष्ठीसम्बन्धः,7.2#षष्ठीसम्बन्धः,3.2	N6	मुख्यों_के	मुख्यों_के
11.1	पद्भिः		पद्भिः	पद्{पुं;3;बहु}/पाद{पुं;3;बहु}	पद्{पुं;3;बहु}	करणम्,13.1	हेतुः,13.1;करणम्,13.1	N3	पैरों_से	पैरों_से
12.1	एव		एव	एव{अव्य}	एव{अव्य}	सम्बन्धः,11.1	सम्बन्धः,11.1	NA	ही	ही
13.1	अन्वयुः		अन्वयुः	अनु_या1{कर्तरि;लङ्;प्र;बहु;परस्मैपदी;अदादिः}	अनु_या1{कर्तरि;लङ्;प्र;बहु;परस्मैपदी;अदादिः}	अभिहित_कर्ता,8.1	-	KP	अनुकरण_किया	अनुकरण_किया
14.1	तदा		तदा	तदा{अव्य}	तदा{अव्य}	कालाधिकरणम्,13.1	कालाधिकरणम्,13.1	NA	तब	तब
15.1	.		.	-	-	-	-	FS	-	-
