index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	शुभे		शुभे	शुभ{नपुं;1;द्वि}/शुभ{नपुं;2;द्वि}/शुभा{स्त्री;1;द्वि}/शुभा{स्त्री;2;द्वि}/शुभ{नपुं;8;द्वि}/शुभा{स्त्री;8;एक}/शुभा{स्त्री;8;द्वि}/शुभ{पुं;7;एक}/शुभ{नपुं;7;एक}	शुभा{स्त्री;8;द्वि}	सम्बोधनम्,6.1	अधिकरणम्,12.1#अधिकरणम्,6.1#अधिकरणम्,5.1#कर्म,5.1#सम्बोधनम्,6.1	N8	शुभ_में	शुभ_में
2.1	कथा-		कथा-मात्र-अवशेषिताः	कथा	कथा	समासः,2.2	समासः,2.2	CP	कथा-	कथा-
2.2	मात्र-		--	मात्र	मात्र	समासः,2.3	समासः,2.3	CP	मात्र-	मात्र-
2.3	अवशेषिताः		--	-	अवशेषित{पुं;1;एक(अव_शिष्;क्त;चुरादिः)} 	विशेषणम्,3.1	विशेषणम्,3.1	N1	-	-
3.1	पाञ्चालाः		पाञ्चालाः	पाञ्चाल{पुं;1;बहु}/पाञ्चाल{पुं;8;बहु}	पाञ्चाल{पुं;1;बहु}	कर्ता,6.1	कर्ता,6.1	N1	पाञ्चाल	पाञ्चाल
4.1	सु-		सु-भृशम्	सु	सु	समासः,4.2	समासः,4.2	CP	सु-	सु-
4.2	भृशम्		--	भृशम्{अव्य}/भृश{नपुं;1;एक}/भृश{नपुं;2;एक}/भृश{पुं;2;एक}	भृश{नपुं;1;एक}	क्रियाविशेषणम्,5.1	विशेषणम्,10.1#विशेषणम्,9.2#कर्म,5.1#विशेषणम्,7.1#क्रियाविशेषणम्,5.1	N1	भृश_के	भृश_के
5.1	क्षीणाः		क्षीणाः	क्षीण{पुं;1;बहु(क्षि1;क्त;भ्वादिः)}/क्षीणा{स्त्री;1;बहु(क्षि1;क्त;भ्वादिः)}/क्षीणा{स्त्री;2;बहु(क्षि1;क्त;भ्वादिः)}/क्षीणा{स्त्री;1;बहु(क्षि3;क्त;तुदादिः)}/क्षीणा{स्त्री;2;बहु(क्षि3;क्त;तुदादिः)}/क्षीण{पुं;1;बहु(क्षी1;क्त;क्र्यादिः)}/क्षीणा{स्त्री;1;बहु(क्षी1;क्त;क्र्यादिः)}/क्षीणा{स्त्री;2;बहु(क्षी1;क्त;क्र्यादिः)}	क्षीण{पुं;1;बहु(क्षी1;क्त;क्र्यादिः)}	विशेषणम्,3.1	कर्म,12.1#विधेय_विशेषणम्,3.1#कर्ता_बे_वेर्ब्स्,6.1	N1	क्षीण	क्षीण
6.1	(सन्ति)		सन्ति	अस्2{कर्तरि;लट्;प्र;बहु;परस्मैपदी;अदादिः}/सत्{नपुं;8;बहु}/सत्{नपुं;1;बहु(अस्2;शतृ_लट्;अदादिः)}/सत्{नपुं;2;बहु(अस्2;शतृ_लट्;अदादिः)}	अस्2{कर्तरि;लट्;प्र;बहु;परस्मैपदी;अदादिः}	अभिहित_कर्ता,3.1;सकर्मक	कर्म,12.1	KP	हैं	हैं
7.1	अहम्		अहम्	अस्मद्{सर्वनाम;1;एक}	अस्मद्{सर्वनाम;1;एक}	कर्ता,12.1	कर्ता,12.1	N1	मैं	मैं
8.1	तेषाम्		तेषाम्	तद्{सर्वनाम;पुं;6;बहु}/तद्{सर्वनाम;नपुं;6;बहु}	तद्{सर्वनाम;पुं;6;बहु}	षष्ठीसम्बन्धः,9.2	षष्ठीसम्बन्धः,9.2#षष्ठीसम्बन्धः,4.2#षष्ठीसम्बन्धः,3.1#षष्ठीसम्बन्धः,1.1#निर्धारणम्,9.2	N6	उनके	उनके
9.1	कुल-		कुल-कर्तारम्	कुल	कुल	समासः,9.2	समासः,9.2	CP	कुल-	कुल-
9.2	कर्तारम्		--	कर्तृ{पुं;2;एक}/कर्तृ{स्त्री;2;एक}	कर्तृ{पुं;2;एक}	कर्म,12.1	कर्म,12.1#विशेषणम्,10.1	N2	कर्ता	कर्ता
10.1	कञ्चित्		कञ्चित्	किञ्चित्{सर्वनाम;पुं;2;एक}	किञ्चित्{सर्वनाम;पुं;2;एक}	विशेषणम्,9.2	कर्म,12.1	NA	कोई	कोई
11.1	न		न	न{अव्य}	न{अव्य}	प्रतिषेधः,12.1	प्रतिषेधः,12.1	NA	नहीं	नहीं
12.1	पश्यामि		पश्यामि	दृश्1{कर्तरि;लट्;उ;एक;परस्मैपदी;भ्वादिः}	दृश्1{कर्तरि;लट्;उ;एक;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,7.1;सकर्मक	-	KP	देखता_हूँ	देखता_हूँ
13.1	.		.	-	-	-	-	FS	-	-
