index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	इह		इह	इह{अव्य}	इह{अव्य}	देशाधिकरणम्,3.1	देशाधिकरणम्,3.1	NA	यहाँ	यहाँ
2.1	भवन्तम्		भवन्तम्	भवत्{सर्वनाम;पुं;2;एक}/भवन्त{पुं;2;एक}/भवत्{पुं;2;एक}	भवत्{सर्वनाम;पुं;2;एक}	कर्म,3.1	विशेषणम्,11.2#विशेषणम्,8.1#कर्म,3.1	N2	आप	आप
3.1	सम्प्रेक्ष्य		सम्प्रेक्ष्य	सम्_प्र_ईक्ष्1{अव्य;ल्यप्;भ्वादिः}	सम्_प्र_ईक्ष्1{अव्य;ल्यप्;भ्वादिः}	पूर्वकालः,7.1	पूर्वकालः,11.2#पूर्वकालः,7.1	NA	अच्छी_तरह_से_देख_कर	अच्छी_तरह_से_देख_कर
4.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,3.1	सम्बन्धः,3.1	NA	च1	च1
5.1	मे		मे	अस्मद्{सर्वनाम;6;एक}/अस्मद्{सर्वनाम;4;एक}	अस्मद्{सर्वनाम;4;एक}	षष्ठीसम्बन्धः,6.1	प्रयोजनम्1,9.1#प्रयोजनम्1,7.1#षष्ठीसम्बन्धः,6.1	N6	मेरे_लिये	मेरे_लिये
6.1	तपः		तपः	तप{पुं;1;एक}/तपस्{नपुं;1;एक}/तपस्{नपुं;2;एक}/तपस्{नपुं;8;एक}	तपस्{नपुं;2;एक}	कर्म,7.1	विशेषणम्,8.1#कर्म,7.1	N1	तप	तप
7.1	परिहीयते		परिहीयते	परि_हा2{कर्मणि;लट्;प्र;एक;आत्मनेपदी;जुहोत्यादिः}	परि_हा2{कर्मणि;लट्;प्र;एक;आत्मनेपदी;जुहोत्यादिः}	-	-	KP	छोडा_जाता_है	छोडा_जाता_है
8.1	त्वाम्		त्वाम्	युष्मद्{सर्वनाम;2;एक}	युष्मद्{सर्वनाम;2;एक}	कर्म,9.1	कर्म,9.1	N2	तुम्हें	तुम्हें
9.1	दृष्ट्वा		दृष्ट्वा	दृश्1{अव्य;क्त्वा;भ्वादिः}	दृश्1{अव्य;क्त्वा;भ्वादिः}	पूर्वकालः,13.1	पूर्वकालः,11.2	NA	देख_कर	देख_कर
10.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,9.1	सम्बन्धः,9.1	NA	च1	च1
11.1	तपो-		तपो-युक्तम्	तपस्	तपस्	समासः,11.2	समासः,11.2	CP	तपो-	तपो-
11.2	युक्तम्		--	युक्त{पुं;2;एक(युज्1;क्त;दिवादिः)}/युक्त{नपुं;1;एक(युज्1;क्त;दिवादिः)}/युक्त{नपुं;2;एक(युज्1;क्त;दिवादिः)}/युक्त{पुं;2;एक(युज्2;क्त;रुधादिः)}/युक्त{नपुं;1;एक(युज्2;क्त;रुधादिः)}/युक्त{नपुं;2;एक(युज्2;क्त;रुधादिः)}	युक्त{नपुं;1;एक(युज्1;क्त;दिवादिः)}	विशेषणम्,12.1	विशेषणम्,12.1	N1	जोडी	जोडी
12.1	शरीरम्		शरीरम्	शरीर{नपुं;1;एक}/शरीर{नपुं;2;एक}	शरीर{नपुं;1;एक}	कर्म,13.1	कर्म,13.1	N1	शरीर	शरीर
13.1	धारितम्		धारितम्	धारित{नपुं;1;एक}	धारित{नपुं;1;एक}	-	-	N1		
14.1	पुनः		पुनः	पुनः{अव्य}	पुनः{अव्य}	क्रियाविशेषणम्,13.1	क्रियाविशेषणम्,13.1	NA	फिर	फिर
15.1	.		-	-	-	-	-	FS	-	-
