index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	राजन्		राजन्	राजन्{पुं;8;एक}/राजत्{पुं;1;एक(राज्1;शतृ_लट्;भ्वादिः)}	राजन्{पुं;8;एक}	सम्बोध्यः,5.1	सम्बोध्यः,11.1#सम्बोध्यः,8.1#सम्बोध्यः,5.1#सम्बोध्यः,3.1	N8	राजा	राजा
2.1	शिवेन		शिवेन	शिव{पुं;3;एक}	शिव{पुं;3;एक}	करणम्,5.1	विशेषणम्,7.1#कर्ता,8.1#कर्ता,3.1#करणम्,11.1#हेतुः,11.1#हेतुः,8.1#हेतुः,6.1#हेतुः,5.1#हेतुः,3.1	N3	शिव_से	शिव_से
3.1	प्रतिनन्दिताः		प्रतिनन्दिताः	प्रतिनन्दित{पुं;1;बहु(प्रति_नद्1;क्त;भ्वादिः)}/प्रतिनन्दिता{स्त्री;1;बहु(प्रति_नद्1;क्त;भ्वादिः)}/प्रतिनन्दिता{स्त्री;2;बहु(प्रति_नद्1;क्त;भ्वादिः)}	प्रतिनन्दित{पुं;1;बहु(प्रति_नद्1;क्त;भ्वादिः)}	विशेषणम्,4.1	विशेषणम्,10.1#विशेषणम्,8.1#विशेषणम्,9.1#विशेषणम्,4.1	N1	आशीर्वाद_दिये_हुए	आशीर्वाद_दिये_हुए
4.1	वयम्		वयम्	अस्मद्{सर्वनाम;1;बहु}	अस्मद्{सर्वनाम;1;बहु}	कर्ता,5.1	कर्ता,11.1#कर्ता,5.1	N1	हम	हम
5.1	प्रतिगमिष्यामः		प्रतिगमिष्यामः	प्रति_गम्1{कर्तरि;लृट्;उ;बहु;परस्मैपदी;भ्वादिः}	प्रति_गम्1{कर्तरि;लृट्;उ;बहु;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,4.1;सकर्मक	-	KP	वापिस_जाएँगे	वापिस_जाएँगे
6.1	राजन्		राजन्	राजन्{पुं;8;एक}/राजत्{पुं;1;एक(राज्1;शतृ_लट्;भ्वादिः)}	राजन्{पुं;8;एक}	सम्बेध्यः,11.1	-	N1	चमकता_हुआ	चमकता_हुआ
7.1	त्वया		त्वया	युष्मद्{सर्वनाम;3;एक}	युष्मद्{सर्वनाम;3;एक}	कर्ता,8.1	कर्ता,8.1#हेतुः,11.1#हेतुः,8.1	N3	तुम्हारे_द्वारा	तुम्हारे_द्वारा
8.1	अनुज्ञाताः		अनुज्ञाताः	अनुज्ञा{तल्;स्त्री;1;बहु}/अनुज्ञा{तल्;स्त्री;2;बहु}/अनुज्ञात{पुं;1;बहु(अनु_ज्ञा1;क्त;क्र्यादिः)}/अनुज्ञाता{स्त्री;1;बहु(अनु_ज्ञा1;क्त;क्र्यादिः)}/अनुज्ञाता{स्त्री;2;बहु(अनु_ज्ञा1;क्त;क्र्यादिः)}	अनुज्ञात{पुं;1;बहु(अनु_ज्ञा1;क्त;क्र्यादिः)}	विशेषणम्,9.1	विशेषणम्,10.1#कर्म,11.1#विशेषणम्,9.1	N1	अनुज्ञात	अनुज्ञात
9.1	वयम्		वयम्	अस्मद्{सर्वनाम;1;बहु}	अस्मद्{सर्वनाम;1;बहु}	कर्ता,11.1	कर्ता,11.1	N1	हम	हम
10.1	विकल्मषाः		विकल्मषाः	विकल्मष{पुं;1;बहु}/विकल्मषा{स्त्री;1;बहु}/विकल्मषा{स्त्री;2;बहु}/विकल्मष{पुं;8;बहु}	विकल्मष{पुं;1;बहु}	विशेषणम्,9.1	कर्म,11.1	N2	विकल्मषों_को	विकल्मषों_को
11.1	गमिष्यामः		गमिष्यामः	गम्1{कर्तरि;लृट्;उ;बहु;परस्मैपदी;भ्वादिः}	गम्1{कर्तरि;लृट्;उ;बहु;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,9.1;सकर्मक	-	KP	जाएँगे	जाएँगे
12.1	.		.	-	-	-	-	FS	-	-
