index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	तत्-		तत्-निमित्तम्	तत्	तत्	समासः,1.2	समासः,1.2	CP	तत्-	तत्-
1.2	निमित्तम्		--	निमित्त{नपुं;1;एक}/निमित्त{नपुं;2;एक}/निमित्त{पुं;2;एक}	निमित्त{नपुं;1;एक}	सम्बन्धः,4.1	सम्बन्धः,4.1#विशेषणम्,10.1#विशेषणम्,6.1#कर्म,4.1#विशेषणम्,3.1#विशेषणम्,5.1	N1	कारण	कारण
2.1	महाबाहो		महाबाहो	महाबाहु{पुं;8;एक}	महाबाहु{पुं;8;एक}	सम्बोध्यः,4.1	सम्बोध्यः,4.1	N8	लंबी_भुजाओं_वाला	लंबी_भुजाओं_वाला
3.1	दानम्		दानम्	दान{नपुं;1;एक}/दान{नपुं;2;एक}	दान{नपुं;2;एक}	कर्म,4.1	कर्म,4.1#विशेषणम्,5.1	N2	दान	दान
4.1	दद्याः		दद्याः	दा3{कर्तरि;विधिलिङ्;म;एक;परस्मैपदी;जुहोत्यादिः}	दा3{कर्तरि;विधिलिङ्;म;एक;परस्मैपदी;जुहोत्यादिः}	अभिहित_कर्ता,5.1;सकर्मक	अभिहित_कर्ता,5.1;सकर्मक	KP	दो	दो
5.1	त्वम्		त्वम्	युष्मद्{सर्वनाम;1;एक}	युष्मद्{सर्वनाम;1;एक}	कर्ता,4.1	कर्ता,4.1	N1	तुम	तुम
6.1	उत्तमम्		उत्तमम्	उत्तम{पुं;2;एक}/उत्तम{नपुं;1;एक}/उत्तम{नपुं;2;एक}	उत्तम{नपुं;2;एक}	विशेषणम्,3.1	विशेषणम्,10.1#विशेषणम्,3.1#कर्म,4.1#विशेषणम्,5.1	N2	अच्छा	अच्छा
7.1	सदा		सदा	सदा{अव्य}	सदा{अव्य}	कालाधिकरणम्,4.1	कालाधिकरणम्,4.1	NA	हमेशा	हमेशा
8.1	एव		एव	एव{अव्य}	एव{अव्य}	सम्बन्धः,7.1	सम्बन्धः,7.1	NA	ही	ही
9.1	भ्रातृभिः		भ्रातृभिः	भ्रातृ{पुं;3;बहु}	भ्रातृ{पुं;3;बहु}	सहार्थः,5.1	सहार्थः,4.1#हेतुः,4.1#सहार्थः,5.1	N3	भाइयों_का	भाइयों_का
10.1	सार्धम्		सार्धम्	सार्धम्{अव्य}/सार्ध{पुं;2;एक}/सार्ध{नपुं;1;एक}/सार्ध{नपुं;2;एक}	सार्धम्{अव्य}	सहार्थ_द्योतकः,5.1	कर्म,4.1#विशेषणम्,5.1#सहार्थ_द्योतकः,9.1#सहार्थ_द्योतकः,5.1	NA	आधा	आधा
11.1	अग्रजस्य		अग्रजस्य	अग्रज{पुं;6;एक}	अग्रज{पुं;6;एक}	षष्ठीसम्बन्धः,3.1	षष्ठीसम्बन्धः,10.1#षष्ठीसम्बन्धः,9.1#षष्ठीसम्बन्धः,3.1#षष्ठीसम्बन्धः,2.1	N6	बडा_भाई_के	बडा_भाई_के
12.1	अरिमर्दन		अरिमर्दन	-	-	सम्बोध्यः,4.1	सम्बोध्यः,4.1	N8		
13.1	.		.	-	-	-	-	FS	-	-
