index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	एनम्		एनम्	इदम्{सर्वनाम;पुं;2;एक}	इदम्{सर्वनाम;पुं;2;एक}	कर्म,2.1	विशेषणम्,5.2#कर्म,8.1#कर्म,6.1#कर्म,2.1	N2	यह	यह
2.1	विसर्जय		विसर्जय	-	सृज्1{णिजन्त;कर्तरि;लोट्;मध्य;एक;परस्मैपदी;भ्वादिः} 	-	-	KP		
3.1	यातु		यातु	या1{कर्तरि;लोट्;प्र;एक;परस्मैपदी;अदादिः}/यातु{नपुं;1;एक}/यातु{नपुं;2;एक}/यातु{नपुं;8;एक}	या1{कर्तरि;लोट्;प्र;एक;परस्मैपदी;अदादिः}	अभिहितकर्ता,4.1	कर्म,8.1#कर्म,6.1#अभिहितकर्ता,4.1	KP	जाये	जाये
4.1	एषः		एषः	एतद्{सर्वनाम;पुं;1;एक}	एतद्{सर्वनाम;पुं;1;एक}	कर्ता,3.1;कर्ता,6.1,	विशेषणम्,12.1#विशेषणम्,11.1#विशेषणम्,10.1#कर्ता,3.1	N1	यह	यह
5.1	स्व-		स्व-राज्यम्	स्व	स्व	समासः,5.2	समासः,5.2	CP	स्व-	स्व-
5.2	राज्यम्		--	राज्य{नपुं;1;एक}/राज्य{नपुं;2;एक}/राज्य{पुं;2;एक}	राज्य{नपुं;2;एक}	कर्म,6.1	कर्म,8.1#कर्म,6.1#गतिकर्म,12.1	N2	राज्य	राज्य
6.1	अनुशासताम्		अनुशासताम्	अनुशासत्{नपुं;6;बहु(अनु_शास्1;शतृ_लट्;अदादिः)}/अनुशासत्{नपुं;6;बहु(अनु_शी1;शतृ_लट्;अदादिः)}/अनुशासत्{नपुं;6;बहु(अनु_सेव्1;शतृ_लट्;भ्वादिः)}	अनुशासत्{नपुं;6;बहु(अनु_शास्1;शतृ_लट्;अदादिः)}	-	विशेषणम्,9.1#विशेषणम्,8.1#षष्ठीसम्बन्धः,11.1#षष्ठीसम्बन्धः,10.1#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,5.2#षष्ठीसम्बन्धः,3.1	KP	अनु_शास्1ते_हुए	अनु_शास्1ते_हुए
7.1	वने		वने	वनि{पुं;8;एक}/वन{नपुं;7;एक}	वन{नपुं;7;एक}	अधिकरणम्,8.1	अधिकरणम्,12.1#अधिकरणम्,8.1#भ्कर्ता,8.1	N7	वन_में	वन_में
8.1	वसताम्		वसताम्	वस्2{कर्तरि;लोट्;प्र;बहु;आत्मनेपदी;अदादिः}/वस्1{कर्तरि;लोट्;प्र;द्वि;परस्मैपदी;भ्वादिः}/वसत्{पुं;6;बहु(वस्1;शतृ_लट्;भ्वादिः)}/वसत्{नपुं;6;बहु(वस्1;शतृ_लट्;भ्वादिः)}	वस्2{कर्तरि;लोट्;प्र;बहु;आत्मनेपदी;अदादिः}	विशेषणम्,9.1	विशेषणम्,9.1#विशेषणम्,6.1#षष्ठीसम्बन्धः,11.1#षष्ठीसम्बन्धः,10.1#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,5.2#षष्ठीसम्बन्धः,3.1#भावलक्षणसप्तमी_समानकालः,12.1	N6	रहते_हुए	रहते_हुए
9.1	एषाम्		एषाम्	इदम्{सर्वनाम;पुं;6;बहु}/इदम्{सर्वनाम;नपुं;6;बहु}	इदम्{सर्वनाम;पुं;6;बहु}	षष्ठीसम्बन्धः,10.1	षष्ठीसम्बन्धः,11.1#षष्ठीसम्बन्धः,10.1#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,5.2#षष्ठीसम्बन्धः,3.1	N6	इनका	इनका
10.1	समधिकः		समधिकः	समधिक{पुं;1;एक}	समधिक{पुं;1;एक}	विशेषणम्,11.1	-	N1	समधिक	समधिक
11.1	मासः		मासः	मास{पुं;1;एक}/मास{पुं;2;बहु}/मास{पुं;5;एक}/मास{पुं;6;एक}	मास{पुं;2;बहु}	अतीतः,12.1	षष्ठीसम्बन्धः,10.1#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,5.2#षष्ठीसम्बन्धः,3.1#हेतुः5,12.1#गतिकर्म,12.1#अत्यन्तसंयोग_सम्बन्धः,12.1	N1	महीने	महीने
12.1	अतीतः		अतीतः	अतीत{पुं;1;एक(अति_इ1;क्त;अदादिः)}	अतीत{पुं;1;एक(अति_इ1;क्त;अदादिः)}	-	-	N1	अतीत	अतीत
13.1	हि		हि	हि{अव्य}	हि{अव्य}	आश्चर्यद्योतकः,12.1	सम्बन्धः,12.1#सम्बन्धः,8.1#सम्बन्धः,3.1	NA	हि	हि
14.1	.		.	-	-	-	-	FS	-	-
