index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	Name-classification
													
1.1	कुरु-	2	कुरु-श्रेष्ठाः	कुरु	कुरु	समासः,1.2	समासः,1.2	CP	कुरु-श्रेष्ठ				
1.2	श्रेष्ठाः			श्रेष्ठ{पुं;8;बहु}/श्रेष्ठ{पुं;1;बहु}/श्रेष्ठा{स्त्री;8;बहु}/श्रेष्ठा{स्त्री;1;बहु}/श्रेष्ठा{स्त्री;2;बहु}	श्रेष्ठ{पुं;8;बहु}	सम्बोध्यः,7.1	सम्बोध्यः,7.1	N8					
2.1	यत्	1	यत्	यत्{अव्य}/यद्{सर्वनाम;नपुं;1;एक}/यद्{सर्वनाम;नपुं;2;एक}	यद्{सर्वनाम;नपुं;2;एक}	आवश्यकता_द्योतकः,7.1	आवश्यकता_द्योतकः,7.1	N2	जिसको				
3.1	सहस्रशः	4	सहस्रशः	सहस्र{अव्य;शस्}	सहस्र{अव्य;शस्}	विशेषणम्,4.1	विशेषणम्,4.1	NA	सहस्र_कर_के				
4.1	राजानः	3	राजानः	राजन्{पुं;1;बहु}/राजन्{पुं;8;बहु}	राजन्{पुं;1;बहु}	कर्ता,7.1	कर्ता,7.1	N1	राजा				
5.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,4.1	सम्बन्धः,4.1	NA	और				
6.1	विनष्टाः		विनष्टाः	विनष्ट{पुं;1;बहु}/विनष्टा{स्त्री;1;बहु}/विनष्टा{स्त्री;2;बहु}/विनष्ट{पुं;8;बहु}	विनष्टा{स्त्री;1;बहु}	विधेय_विशेषणम्,4.1	विधेय_विशेषणम्,4.1	N1	विनष्टें				
7.1	(बभूवुः)			भू1{कर्तरि;लिट्;प्र;बहु;परस्मैपदी;भू;:भ्वादिः}	भू1{कर्तरि;लिट्;प्र;बहु;परस्मैपदी;भू;:भ्वादिः}	अभिहित_कर्ता,1.1	अभिहित_कर्ता,1.1	KP	हुईं				
8.1	तत्	7	तत्	तत्{अव्य}/तद्{सर्वनाम;नपुं;1;एक}/तद्{सर्वनाम;नपुं;2;एक}	तद्{सर्वनाम;नपुं;2;एक}	विशेषणम्,9.1	विशेषणम्,9.1	N2	वह				
9.1	सर्वं	5	सर्वं	सर्व{सर्वनाम;पुं;2;एक}/सर्व{सर्वनाम;नपुं;1;एक}/सर्व{सर्वनाम;नपुं;2;एक}	सर्व{सर्वनाम;नपुं;2;एक}	कर्म,12.1	कर्म,12.1	N2	सब				
10.1	दैव-	6	दैव-कृतम्	दैव	दैव	समासः,10.2	समासः,10.2	CP	दैव-निर्मित_ने				
10.2	कृतम्			कृत{नपुं;1;एक(दैव-कृ1;क्त;कृञ्;:भ्वादिः)}	कृत{नपुं;1;एक(दैव-कृ1;क्त;कृञ्;:भ्वादिः)}	विधेय_विशेषणम्,9.1	विधेय_विशेषणम्,9.1	N1					
11.1	वै		वै	वै{अव्य}	वै{अव्य}	सम्बन्धः,10.1	सम्बन्धः,10.1	NA	सुखना				
12.1	(विद्धि)		विद्धि	विद्1{कर्तरि;लोट्;म;एक;परस्मैपदी;विदँ;अदादिः}	विद्1{कर्तरि;लोट्;म;एक;परस्मैपदी;विदँ;अदादिः}	अभिहित_कर्म,9.1	अभिहित_कर्म,9.1	KP	समझो				
13.1	अत्र		अत्र	अत्र{अव्य}	अत्र{अव्य}	देशाधिकरणम्,17.1	देशाधिकरणम्,17.1	NA	यहाँ				
14.1	कः	8	कः	किम्{सर्वनाम;पुं;1;एक}	किम्{सर्वनाम;पुं;1;एक}	कर्ता,17.1	कर्ता,17.1	N1	कौन				
15.1	किम्	9	किं	किम्{अव्य}/किम्{सर्वनाम;नपुं;1;एक}/किम्{सर्वनाम;नपुं;2;एक}	किम्{सर्वनाम;नपुं;2;एक}	कर्म,16.1	कर्म,16.1	N2	क्या				
16.1	वक्तुम्	10	वक्तुम्	ब्रू1{अव्य;तुमुन्;ब्रूञ्;:अदादिः}/वच्1{अव्य;तुमुन्;वचँ;:अदादिः}	वच्1{अव्य;तुमुन्;वचँ;:अदादिः}	सहायकक्रिया,17.1	सहायकक्रिया,17.1	NA	बोल				
17.1	अर्हति		अर्हति	अर्ह्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अर्हँ;:चुरादिः}/अर्ह्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;अर्हँ;:भ्वादिः}	अर्ह्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;अर्हँ;:भ्वादिः}	अभिहित_कर्ता,14.1;सकर्मक	अभिहित_कर्ता,14.1;सकर्मक	KP	योग्य_होता_है				
18.1	.	.	-	-	-	-	-	FS	-				
