index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	Name-classification
													
1.1	मया		मया	अस्मद्{सर्वनाम;3;एक}	अस्मद्{सर्वनाम;3;एक}	कर्ता,7.1	कर्ता,7.1	N3	मुझसे				
2.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,5.1	सम्बन्धः,5.1	NA	और				
3.1	भवतां		भवतां	भवत्{सर्वनाम;पुं;6;बहु}/भू1{कर्तरि;लोट्;प्र;द्वि;परस्मैपदी;भू;:भ्वादिः}/भवत्{पुं;6;बहु}	भवत्{सर्वनाम;पुं;6;बहु}	षष्ठीसम्बन्धः,5.1	षष्ठीसम्बन्धः,5.1	N6	आपका				
4.1	सम्यक्		सम्यक्	सम्यक्{अव्य}	सम्यक्{अव्य}	क्रियाविशेषणम्,7.1	क्रियाविशेषणम्,7.1	NA	ठीक				
5.1	शुश्रूषा		शुश्रूषा	शुश्रूषा{स्त्री;1;एक}	शुश्रूषा{स्त्री;1;एक}	कर्म,7.1	कर्म,7.1	N1	शुश्रूषायें				
6.1	या		या	यद्{सर्वनाम;स्त्री;1;एक}	यद्{सर्वनाम;स्त्री;1;एक}	नित्यसम्बन्धः,12.1;विशेषणम्,13.3	नित्यसम्बन्धः,12.1;विशेषणम्,13.3	N1	जो				
7.1	कृता		कृता	कृत्{पुं;3;एक}/कृता{स्त्री;1;एक(कृ3;क्त;डुकृञ्;:तनादिः)}/कृता{स्त्री;1;एक(कृ2;क्त;कृञ्;:स्वादिः)}/कृता{स्त्री;1;एक(कृ1;क्त;कृञ्;:भ्वादिः)}	कृता{स्त्री;1;एक(कृ3;क्त;डुकृञ्;:तनादिः)}/	प्रतियोगी,6.1;अभिहित_कर्ता,1.1	अभिहित_कर्ता,1.1	N1	कृत्_से				
8.1	अनघाः		अनघाः	अनघा{स्त्री;1;बहु}/अनघा{स्त्री;1;बहु}	अनघ{पुं;8;बहु}	सम्बोध्यः,7.1	सम्बोध्यः,7.1	N8	अनघायें				
9.1	अ-		अ-सम्यक्	अ	अ	समासः,9.2	समासः,9.2	CP	अ-ठीक				
9.2	सम्यक्			सम्यक्{अव्य}	सम्यक्{अव्य}	अन्यतरः,4.1	अन्यतरः,4.1	NA					
10.1	वा		वा	वा{अव्य}	वा{अव्य}	अन्यतर_द्योतकः,4.1	अन्यतर_द्योतकः,4.1	NA	वा				
11.1	महाभागाः		महाभागाः	महाभाग{पुं;1;बहु}/महाभागा{स्त्री;1;बहु}/महाभागा{स्त्री;2;बहु}	अनघ{पुं;8;बहु}	अभेदः,8.1	अभेदः,8.1	N8	महाभाग				
12.1	तत्		तत्	तत्{अव्य}/तद्{सर्वनाम;नपुं;1;एक}/तद्{सर्वनाम;नपुं;2;एक}	तद्{सर्वनाम;नपुं;1;एक}	अनुयोगी,13.2;कर्म,13.1	अनुयोगी,13.2;कर्म,13.1	N1					
13.1	क्षन्तव्यम्		क्षन्तव्यम्	क्षन्तव्य{पुं;2;एक(क्षम्1;तव्यत्;क्षमूँष्;:भ्वादिः)}/क्षन्तव्य{नपुं;1;एक(क्षम्1;तव्यत्;क्षमूँष्;:भ्वादिः)}/क्षन्तव्य{नपुं;2;एक(क्षम्1;तव्यत्;क्षमूँष्;:भ्वादिः)}/क्षन्तव्य{पुं;2;एक(क्षम्2;तव्यत्;क्षमूँ;:दिवादिः)}/क्षन्तव्य{नपुं;1;एक(क्षम्2;तव्यत्;क्षमूँ;:दिवादिः)}/क्षन्तव्य{नपुं;2;एक(क्षम्2;तव्यत्;क्षमूँ;:दिवादिः)}	क्षन्तव्य{पुं;1;एक(क्षम्1;तव्यत्;क्षमूँष्;:भ्वादिः)}	विधेय_विशेषणम्,13.3	विधेय_विशेषणम्,13.3	N1					
13.2	(अस्मि)			-	-	अभिहित_कर्ता,13.3	अभिहित_कर्ता,13.3	KP					
13.3	(अहम्)			-	-	कर्ता,13.2	कर्ता,13.2	N1					
14.1	अतन्द्रितैः		अतन्द्रितैः	अतन्द्रित{पुं;3;बहु}/अतन्द्रित{नपुं;3;बहु}	अतन्द्रित{पुं;3;बहु}	क्रियाविशेषणम्,7.1	क्रियाविशेषणम्,7.1	N3	सावधानों_से				
15.1	.	.	-	-	-	-	-	FS	-				
