index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	kaaraka_sambandha	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	अप्रमादः	1	अप्रमादः	अप्रमाद{पुं;1;एक}	अप्रमाद{पुं;1;एक}	कर्म,3.1	कर्म,3.1	N1	अप्रमाद					
2.1	त्वया		त्वया	युष्मद्{सर्वनाम;3;एक}	युष्मद्{सर्वनाम;3;एक}	कर्ता,3.1	कर्ता,3.1	N3	तुमसे					
3.1	कार्यः	2	कार्यः	कारी{स्त्री;1;बहु}/कार्य{पुं;1;एक}	कार्य{पुं;1;एक}	अभिहित_कर्म,1.1	अभिहित_कर्म,1.1	N1	काम_करने_वालायें					
4.1	सर्वथा	3	सर्वथा	सर्वथा{अव्य}	सर्वथा{अव्य}	क्रियाविशेषणम्,3.1	क्रियाविशेषणम्,3.1	NA	निश्चित_रुप_से					
5.1	कुरु-	4	कुरु-नन्दन	कुरु	T6,5.2	T6,5.2	T6,5.2	CP	कुरु-नन्दन					
5.2	नन्दन			नन्दन{पुं;8;एक}	नन्दन{पुं;8;एक}	सम्बोध्यः,3.1	सम्बोध्यः,3.1	N8						
6.1	अष्ट-	5	अष्ट-अङ्गे	अष्ट	अष्ट	Bs6,6.2	Bs6,6.2	CP	अष्ट-अङ्ग_में					
6.2	अङ्गे			अङ्ग{पुं;7;एक}/अङ्ग{नपुं;8;द्वि}/अङ्ग{नपुं;1;द्वि}/अङ्ग{नपुं;2;द्वि}/अङ्ग{नपुं;7;एक}/अङ्गा{स्त्री;8;एक}/अङ्गा{स्त्री;8;द्वि}/अङ्गा{स्त्री;1;द्वि}/अङ्गा{स्त्री;2;द्वि}	अङ्ग{पुं;7;एक}	विशेषणम्,8.1	विशेषणम्,8.1	N7						
7.1	राज-	6	राज-शार्दूल	राज	राज	T6,7.2	T6,7.2	CP	राजा-शार्दूल					
7.2	शार्दूल			शार्दूल{पुं;8;एक}/शार्दूल{नपुं;8;एक}	शार्दूल{पुं;8;एक}	विशेषणम्,5.2	विशेषणम्,5.2	N8						
8.1	राज्ये	7	राज्ये	राज्य{नपुं;1;द्वि}/राज्य{नपुं;2;द्वि}/राज्1{भावे;लट्;उ;एक;आत्मनेपदी;राजृँ;:भ्वादिः}/राज्य{नपुं;8;द्वि}/राज्य{नपुं;7;एक}	राज्य{नपुं;7;एक}	विषयाधिकरणम्,3.1	विषयाधिकरणम्,3.1	N7	राज्य					
9.1	धर्म-	8	धर्म-पुरस्कृते	धर्म	धर्म	T63,9.2	T63,9.2	CP						
9.2	पुरस्कृते			पुरस्कृता{स्त्री;1;द्वि}/पुरस्कृता{स्त्री;2;द्वि}	पुरस्कृत{पुं;7;एक}	विशेषणम्,8.1	विशेषणम्,8.1	N7	धर्म-पुरस्कृतें					
10.1	.	.	-	-	-	-	-	FS	-					
