index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	Name-classification
													
1.1	यथा	1	यथा	यथा{अव्य}	यथा{अव्य}	क्रिया_विशेषणम्,2.1	क्रिया_विशेषणम्,2.1	NA	जैसे				
2.1	वदसि	2	वदसि	वद्1{कर्तरि;लट्;म;एक;परस्मैपदी;वदँ;:भ्वादिः}	वद्1{कर्तरि;लट्;म;एक;परस्मैपदी;वदँ;:भ्वादिः}	अभिहित_कर्ता,12.1	अभिहित_कर्ता,12.1	KP	बोलते_हो				
3.1	राज-	3	राज-इन्द्र	राज	राज	समासः,3.2	समासः,3.2	CP	राजा-इन्द्र				
3.2	इन्द्र			इन्द्र{पुं;8;एक}/इन्द्र{नपुं;8;एक}	इन्द्र{पुं;8;एक}	सम्बोध्यः,2.1	सम्बोध्यः,2.1	N8					
4.1	सर्वम्	4	सर्वम्	सर्व{सर्वनाम;पुं;2;एक}/सर्व{सर्वनाम;नपुं;1;एक}/सर्व{सर्वनाम;नपुं;2;एक}	सर्व{सर्वनाम;नपुं;1;एक}	मुख्यकर्म,15.1	मुख्यकर्म,15.1	N1	सब_को				
5.1	एतत्		एतत्	एतद्{सर्वनाम;नपुं;1;एक}/एतद्{सर्वनाम;नपुं;2;एक}	एतद्{सर्वनाम;नपुं;1;एक}	विशेषणम्,4.1	विशेषणम्,4.1	N1	यह				
6.1	तथा		तथा	तथा{अव्य}	तथा{अव्य}	क्रियाविशेषणम्,15.1	क्रियाविशेषणम्,15.1	NA	वैसे				
7.1	विभो	5	विभो	विभु{पुं;8;एक}	विभु{पुं;8;एक}	सम्बोध्यः,19.1	सम्बोध्यः,19.1	N8	शक्तिशाली				
8.1	अत्र	6	अत्र	अत्र{अव्य}/अत्र{पुं;8;एक}/अत्र{नपुं;8;एक}	अत्र{अव्य}	अधिकरणम्,19.1	अधिकरणम्,19.1	NA	न-				
9.1	मिथ्या	7	मिथ्या	मिथ्या{अव्य}	मिथ्या{अव्य}	विशेषणम्,10.1	विशेषणम्,10.1	NA	झूठमूठ				
10.1	वचः	8	वचः	वच{पुं;1;एक}/वचस्{नपुं;1;एक}/वचस्{नपुं;2;एक}/वचस्{नपुं;8;एक}	वच{पुं;1;एक}	कर्ता,19.1	कर्ता,19.1	N1	तोता				
11.1	किञ्चित्	9	किञ्चित्	किञ्चित्{अव्य}/किञ्चित्{सर्वनाम;नपुं;1;एक}/किञ्चित्{सर्वनाम;नपुं;2;एक}	किञ्चित्{अव्य}	विशेषणम्,9.1	विशेषणम्,9.1	NA					
12.1	(त्वम्)			युष्मद्{सर्वनाम;1;एक}	युष्मद्{सर्वनाम;1;एक}	कर्ता,2.1	कर्ता,2.1	N1	तुम				
13.1	नः		नः	अस्मद्{सर्वनाम;2;बहु}/अस्मद्{सर्वनाम;4;बहु}/अस्मद्{सर्वनाम;6;बहु}/नृ{पुं;8;एक}	अस्मद्{सर्वनाम;6;बहु}	षष्ठीसम्बन्धः,18.1	षष्ठीसम्बन्धः,18.1	N6	हमें				
14.1	परस्परम्	10	परस्परम्	परस्पर{पुं;2;एक}/परस्पर{नपुं;1;एक}/परस्पर{नपुं;2;एक}	परस्पर{पुं;2;एक}	क्रिया_विशेषणम्,17.1	क्रिया_विशेषणम्,17.1	N2	परस्पर_को				
15.1	(अस्ति)		-	अस्{कर्तरि;लट्;प्र;एक;परस्मैपदी{धातुः;असँ}अदादिः}	अस्{कर्तरि;लट्;प्र;एक;परस्मैपदी{धातुः;असँ}अदादिः}	अभिहित_कर्म,15.1	अभिहित_कर्म,15.1	KP					
16.1	न		न	न{अव्य}	न{अव्य}	प्रतिषेधः,19.1	प्रतिषेधः,19.1	NA					
17.1	(स्थापितम्)			स्थापित{नपुं;1;एक{कृदन्त}({कृत्_धातु;ष्था1}क्त{धातुः;ष्था}भ्वादिः)	स्थापित{नपुं;1;एक{कृदन्त}({कृत्_धातु;ष्था1}क्त{धातुः;ष्था}भ्वादिः)	अभिहित_कर्ता,18.1	अभिहित_कर्ता,18.1	N1					
18.1	सुहृत्वम्		सुहृत्वम्	सुहृत्{त्व;नपुं;1;एक{तद्धित}}	सुहृत्{त्व;नपुं;1;एक{तद्धित}}	कर्ता,17.1	कर्ता,17.1	N1					
19.1	(अस्ति)			अस्{कर्तरि;लट्;प्र;एक;परस्मैपदी{धातुः;असँ} अदादिः}	अस्{कर्तरि;लट्;प्र;एक;परस्मैपदी{धातुः;असँ} अदादिः}	अभिहित_कर्ता,10.1	अभिहित_कर्ता,10.1	KP					
20.1	.	.	-	-	-	-	-	FS	-				
