index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1.1	मन्त्रिणः	1	मन्त्रिणश्चैव	मन्त्रिन्{पुं;1;बहु}/मन्त्रिन्{पुं;2;बहु}/मन्त्रिन्{पुं;5;एक}/मन्त्रिन्{पुं;6;एक}/मन्त्रिन्{पुं;8;बहु}	मन्त्रिन्{पुं;2;बहु}	विधेय_विशेषणम्,5.1	मन्त्री					
2.1	च			च{अव्य}	च{अव्य}	सम्बन्धः,1.1	भी					
3.1	एव			एव{अव्य}	एव{अव्य}	सम्बन्धः,2.1	ही					
4.1	कुर्वीथाः	2	कुर्वीथा	कृ3{कर्तरि;विधिलिङ्;म;एक;आत्मनेपदी;डुकृञ्;:तनादिः}	कृ3{कर्तरि;विधिलिङ्;म;एक;आत्मनेपदी;डुकृञ्;:तनादिः}	अभिहित_कर्ता,13.1;सकर्मक	करो					
5.1	द्विजान्	3	द्विजान्विद्याविशारदान्	द्विज{पुं;2;बहु}	द्विज{पुं;2;बहु}	कर्म,4.1	ब्राह्मणों_को					
6.1	विद्या-			विद्या-	विद्या-	T7,6.2						
6.2	विशारदान्			विद्या-विशारद{पुं;2;बहु}	विद्या-विशारद{पुं;2;बहु}	विशेषणम्,5.1	विद्या-चतुर					
7.1	विनीतान्	4	विनीतांश्च	विनीत{पुं;2;बहु}/विनीत{पुं;2;बहु(णी1;क्त;णीञ्;:भ्वादिः)}	विनीत{पुं;2;बहु}	विशेषणम्,5.1	अनुशासितों_को					
8.1	च			च{अव्य}	च{अव्य}	सम्बन्धः,7.1	और					
9.1	कुलीनान्	5	कुलीनांश्च	कुलीन{पुं;2;बहु}	कुलीन{पुं;2;बहु}	विशेषणम्,5.1	कुलीन					
10.1	च			च{अव्य}	च{अव्य}	सम्बन्धः,9.1	भी					
11.1	धर्म-				धर्म-	Di,11.2						
11.2	अर्थ-				अर्थ-	T7,11.3						
11.3	कुशलान्	6	धर्मार्थकुशलानृजून्	धर्मार्थ-कुशल{पुं;2;बहु}	धर्मार्थ-कुशल{पुं;2;बहु}	विशेषणम्,5.1	धर्मार्थ-कुशल					
12.1	ऋजून्			ऋजु{पुं;2;बहु}	ऋजु{पुं;2;बहु}	विशेषणम्,5.1	ऋजुओं_को					
13.1	(त्वम्)			युष्मद्{सर्वनाम;1;एक}	युष्मद्{सर्वनाम;1;एक}	कर्ता,4.1						
