index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	पुरम्	1	पुरम्	पुर्{स्त्री;2;एक}/पुर{नपुं;1;एक}/पुर{नपुं;2;एक}	पुर{नपुं;1;एक}	कर्ता,5.1	कर्ता,5.1	N1	पुर_को					
2.1	च	2	च	च{अव्य}	च{अव्य}	सम्बन्धः,1.1	सम्बन्धः,1.1	NA	और					
3.1	ते	3	ते	तद्{सर्वनाम;पुं;1;बहु}/तद्{सर्वनाम;नपुं;1;द्वि}/तद्{सर्वनाम;नपुं;2;द्वि}/तद्{सर्वनाम;स्त्री;1;द्वि}/तद्{सर्वनाम;स्त्री;2;द्वि}/युष्मद्{सर्वनाम;4;एक}/युष्मद्{सर्वनाम;6;एक}	युष्मद्{सर्वनाम;6;एक}	षष्ठीसम्बन्धः,1.1	षष्ठीसम्बन्धः,1.1	N6	तुम्हें					
4.1	सु-	4	सु-गुप्तम्	सु	सु	Tp,4.2	Tp,4.2	CP	सु-गुप्त					
4.2	गुप्तम्			गुप्त{पुं;2;एक(सु-गुप्1;क्त;गुपूँ;:भ्वादिः)}/सु-गुप्त{नपुं;1;एक(गुप्1;क्त;गुपूँ;:भ्वादिः)}/सु-गुप्त{नपुं;2;एक(गुप्1;क्त;गुपूँ;:भ्वादिः)}	गुप्त{नपुं;1;एक(सु-गुप्1;क्त;गुपूँ;:भ्वादिः)}	विधेय_विशेषणम्,1.1	विधेय_विशेषणम्,1.1	N1						
5.1	स्यात्	5	स्यात्	अस्2{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;असँ;:अदादिः}	अस्2{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;असँ;:अदादिः}	अभिहित_कर्ता,1.1;सकर्मक	अभिहित_कर्ता,1.1;सकर्मक	KP	अस्2_प्प्_स्क्यें					
6.1	दृढ-		दृढ-प्राकार-तोरणम्	दृढ	दृढ	K1,6.3	K1,6.3	CP						
6.2	प्राकार-			प्राकार	प्राकार	T6,6.3	T6,6.3	CP						
6.3	तोरणम्			तोरण{नपुं;2;एक(तुर्1;ल्युट्;तुरँ;:जुहोत्यादिः)}	तोरण{नपुं;1;एक(दृढ-प्राकार-तुर्1;ल्युट्;तुरँ;:जुहोत्यादिः)}	विशेषणम्,1.1	विशेषणम्,1.1	N1	दृढ-प्राकार-					
7.1	अट्ट-		अट्ट-अट्टालक-सम्बाधम्	अट्ट	अट्ट	Di,7.2	Di,7.2	CP						
7.2	अट्टालक-			अट्टालक	अट्टालक	Bv6,7.3	Bv6,7.3	CP						
7.3	सम्बाधम्	6		सम्बाध{पुं;2;एक(बाध्1;घञ्;बाधृँ;:भ्वादिः)}	सम्बाध{नपुं;1;एक(बाध्1;घञ्;बाधृँ;:भ्वादिः)}	विशेषणम्,1.1	विशेषणम्,1.1	N1						
8.1	षट्-	7	षट्-पथम्	षट्	षट्	Bs6,8.2	Bs6,8.2	CP	षट्-पथ					
8.2	पथम्			पथ{पुं;2;एक}/पथ{नपुं;1;एक}/पथ{नपुं;2;एक}	पथ{नपुं;1;एक}	विशेषणम्,1.1	विशेषणम्,1.1	N1						
9.1	सर्वतः-	8	सर्वतः-दिशम्	सर्वतः	सर्वतः	A1,9.2	A1,9.2	N1						
9.2	दिशम्			दिशम्{नपुं;1;एक}	दिशम्{नपुं;1;एक}	विशेषणम्,7.3	विशेषणम्,7.3	NA						
10.1	.	.	-	-	-	-	-	FS	-					
