index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	कृत-	1	कृत-आहारं	कृत	कृत	Bs3,1.2	Bs3,1.2	CP						
1.2	आहारं			कृ3{क्त;डुकृञ्;:तनादिः}/कृ2{क्त;कृञ्;:स्वादिः}/कृ1{क्त;कृञ्;:भ्वादिः-आहार;पुं;2;एक}/आहार{पुं;2;एक(हृ1;घञ्;हृञ्;:भ्वादिः)}	आहार{पुं;2;एक}	विशेषणम्,11.1	विशेषणम्,11.1	N2						
2.1	कृत-	2	कृत-आहाराः	कृत	कृत	Bs3,2.2	Bs3,2.2	CP						
2.2	आहाराः			कृ3{क्त;डुकृञ्;:तनादिः}/कृ2{क्त;कृञ्;:स्वादिः}/कृ1{क्त;कृञ्;:भ्वादिः-आहार;पुं;1;बहु}/आहार{पुं;8;बहु}/आहार{पुं;1;बहु(हृ1;घञ्;हृञ्;:भ्वादिः)}	आहार{पुं;1;बहु}	विशेषणम्,6.1	विशेषणम्,6.1	N1						
3.1	सर्वे	3	सर्वे	सर्व{सर्वनाम;पुं;1;बहु}/सर्व{सर्वनाम;नपुं;1;द्वि}/सर्व{सर्वनाम;नपुं;2;द्वि}/सर्वा{सर्वनाम;स्त्री;1;द्वि}/सर्वा{सर्वनाम;स्त्री;2;द्वि}	सर्व{सर्वनाम;पुं;1;बहु}	विशेषणम्,6.1	विशेषणम्,6.1	N1	सब					
4.1	ते	4	ते	तद्{सर्वनाम;पुं;1;बहु}/तद्{सर्वनाम;नपुं;1;द्वि}/तद्{सर्वनाम;नपुं;2;द्वि}/तद्{सर्वनाम;स्त्री;1;द्वि}/तद्{सर्वनाम;स्त्री;2;द्वि}/युष्मद्{सर्वनाम;4;एक}/युष्मद्{सर्वनाम;6;एक}	तद्{सर्वनाम;पुं;1;बहु}	विशेषणम्,6.1	विशेषणम्,6.1	N1	वे					
5.1	विदुर-		विदुर-आदयः	विदुर	विदुर	Bs6,5.2	Bs6,5.2	CP						
5.2	आदयः	5		आदि{स्त्री;1;बहु}/अद्2{णिजन्त;कर्तरि;लङ्;म;एक;परस्मैपदी;अदँ;:अदादिः}/आदि{स्त्री;8;बहु}/आदि{पुं;8;बहु}/आदि{पुं;1;बहु}	आदि{पुं;1;बहु}	विशेषणम्,6.1	विशेषणम्,6.1	N1	हाथी_का_ललाट-आदियाँ					
6.1	पाण्डवाः	6	पाण्डवाः	पाण्डव{पुं;1;बहु}/पाण्डव{पुं;8;बहु}	पाण्डव{पुं;1;बहु}	कर्ता,9.1	कर्ता,9.1	N1	पाण्डव					
7.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,6.1	सम्बन्धः,6.1	NA	और					
8.1	कुरु-	7	कुरु-श्रेष्ठम्	कुरु	कुरु	T7,8.2	T7,8.2	CP	कुरु-श्रेष्ठ_को					
8.2	श्रेष्ठम्			श्रेष्ठ{पुं;2;एक}/श्रेष्ठ{नपुं;1;एक}/श्रेष्ठ{नपुं;2;एक}	श्रेष्ठ{पुं;2;एक}	विशेषणम्,11.1	विशेषणम्,11.1	N2						
9.1	उपातिष्ठन्त(उपातिष्ठन्)		उपातिष्ठन्त	उप_ष्था1{कर्तरि;लङ्;प्र;बहु;परस्मैपदी;ष्था;:भ्वादिः}	उप_ष्था1{कर्तरि;लङ्;प्र;बहु;परस्मैपदी;ष्था;:भ्वादिः}	अभिहित_कर्ता,6.1;सकर्मक	अभिहित_कर्ता,6.1;सकर्मक	KP	रहे					
10.1	तं	8	तं	तद्{सर्वनाम;पुं;2;एक}	तद्{सर्वनाम;पुं;2;एक}	विशेषणम्,11.1	विशेषणम्,11.1	N2	उसको					
11.1	नृपम्	9	नृपम्	नृप{पुं;2;एक}	नृप{पुं;2;एक}	कर्म,9.1	कर्म,9.1	N2	राजा_को					
12.1	.	.	-	-	-	-	-	FS	-	-				
