index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	ग्राम-		ग्राम-अग्रहार-कुल्य-आढ्यः	ग्राम	ग्राम	समासः,1.2	समासः,1.2	CP	ग्राम-	ग्राम-
1.2	अग्रहार-		--	अग्रहार	अग्रहार	समासः,1.3	समासः,1.3	CP	अग्रहार-	अग्रहार-
1.3	कुल्य-		--	कुल्य	कुल्य	समासः,1.4	समासः,1.4	CP	कुल्य-	कुल्य-
1.4	आढ्यः		--	आढ्य{पुं;1;एक}	आढ्य{पुं;1;एक}	विशेषणम्,5.3	विशेषणम्,5.3#विशेषणम्,3.1#विशेषणम्,2.4	N1		
2.1	मणि-		मणि-हेम-जल-अर्णवः	मणि	मणि	समासः,2.2	समासः,2.2	CP	मणि-	मणि-
2.2	हेम-		--	हेम}/हेमन्	हेम	समासः,2.3	समासः,2.3	CP	हेम-	हेम-
2.3	जल-		--	जल	जल	समासः,2.4	समासः,2.4	CP	जल-	जल-
2.4	अर्णवः		--	अर्णव{पुं;1;एक}	अर्णव{पुं;1;एक}	विशेषणम्,5.3	विशेषणम्,5.3#विशेषणम्,3.1#विशेषणम्,1.4	N1		
3.1	जगत्		जगत्	जगत्{नपुं;1;एक}/जगत्{नपुं;2;एक}/जगत्{पुं;8;एक}/जगत्{नपुं;8;एक}/जगत्{पुं;1;एक}	जगत्{नपुं;2;एक}	कर्म,4.1	कर्म,4.1	N2	विश्व	विश्व
4.1	सम्प्लावयामास		सम्प्लावयामास	सम्_प्लु1{णिच्;कर्तरि;लिट्;उ;एक;परस्मैपदी;भ्वादिः}/सम्_प्लु1{णिच्;कर्तरि;लिट्;उ;एक;आत्मनेपदी;भ्वादिः}/सम्_प्लु1{णिच्;कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः}/सम्_प्लु1{णिच्;कर्तरि;लिट्;प्र;एक;आत्मनेपदी;भ्वादिः}/सम्_प्लु1{णिच्;कर्तरि;लिट्;म;बहु;परस्मैपदी;भ्वादिः}/सम्_प्लु1{णिच्;कर्तरि;लिट्;म;बहु;आत्मनेपदी;भ्वादिः}	सम्_प्लु1{णिच्;कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,5.3	अभिहित_कर्ता,5.3	KP		
5.1	धृतराष्ट्र-		धृतराष्ट्र-दया-अम्बुधिः	धृतराष्ट्र	धृतराष्ट्र	समासः,5.2	समासः,5.2	CP	धृतराष्ट्र-	धृतराष्ट्र-
5.2	दया-		--	दया	दया	समासः,5.3	समासः,5.3	CP	दया-	दया-
5.3	अम्बुधिः		--	अम्बुधि{पुं;1;एक}	अम्बुधि{पुं;1;एक}	कर्ता,4.1	विशेषणम्,3.1#विशेषणम्,2.4#विशेषणम्,1.4#कर्ता,4.1	N1	अम्बुधि	अम्बुधि
6.1	.		.	-	-	-	-	FS	-	-
