index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	kaaraka_sambandha	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
1	कुन्ती	1	कुन्ती	कुन्ती{स्त्री;1;एक}/कुन्ति{पुं;1;द्वि}/कुन्ति{पुं;2;द्वि}/कुन्ति{पुं;8;द्वि}	कुन्ति{पुं;1;द्वि}	समुच्चितः,23	समुच्चितः,23	N1	कुन्ति					
2	च	2	च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,1	समुच्चय_द्योतकः,1	NA	और					
3	द्रौपदी	3	द्रौपदी	द्रौपदी{स्त्री;1;एक}	द्रौपदी{स्त्री;1;एक}	समुच्चितः,23	समुच्चितः,23	N1	द्रौपदी					
4	च	4	चैव	च{अव्य}	च{अव्य}	सम्बन्धः,3	सम्बन्धः,3	NA	और					
5	एव			एव{अव्य}	एव{अव्य}	सम्बन्धः,4	सम्बन्धः,4	NA	ही					
6	भामिनी	7	भामिनी	भामिनी{स्त्री;1;एक}	भामिनी{स्त्री;1;एक}	विशेषणम्,23	विशेषणम्,23	N1	सुन्दर-स्					
7	उलूपी	8	उलूपी	उलूपी{स्त्री;1;एक}	उलूपी{स्त्री;1;एक}	समुच्चितः,23	समुच्चितः,23	N1	उलूपी					
8	च	6	चैव	च{अव्य}	च{अव्य}	सम्बन्धः,7	सम्बन्धः,7	NA	और					
9	नागकन्या	9	नागकन्या	नागकन्या{स्त्री;1;एक}	नागकन्या{स्त्री;1;एक}	विशेषणम्,7	विशेषणम्,7	N1	सांप-कन्या					
10	च	10	च	च{अव्य}	च{अव्य}	सम्बन्धः,9	सम्बन्धः,9	NA	और					
11	देवी	11	देवी	देवी{स्त्री;1;एक}	देवी{स्त्री;1;एक}	विशेषणम्,12	विशेषणम्,12	N1	देवी					
12	चित्रअङ्गदा	12	चित्राङ्गदा	चित्रअङ्गदा{स्त्री;1;एक}	चित्रअङ्गदा{स्त्री;1;एक}	समुच्चितः,23	समुच्चितः,23	N1	चित्र-अङ्गदा					
13	तथा	13	तथा	तथा{अव्य}	तथा{अव्य}	सम्बन्धः,12	सम्बन्धः,12	NA	वैसे					
15	सात्वती	5	सात्वती		सात्वती{{स्त्री;1;एक}	समुच्चितः,23	समुच्चितः,23	N1						
16	एव			एव{अव्य}	एव{अव्य}	सम्बन्धः,15	सम्बन्धः,15	NA	ही					
17	धृष्टकेतोः	1	धृष्टकेतोश्च	धृष्टकेतु{पुं;5;एक}/धृष्टकेतु{पुं;6;एक}	धृष्टकेतु{पुं;6;एक}	षष्ठीसम्बन्धः,19	षष्ठीसम्बन्धः,19	N6	धृष्टकेतु_से					
18	च			च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,19	समुच्चय_द्योतकः,19	NA	और					
19	भगिनी	2	भगिनी	भगिनी{स्त्री;1;एक}	भगिनी{स्त्री;1;एक}	समुच्चितः,23	समुच्चितः,23	N1	बहन					
20	जरासन्धस्य	3	जरासन्धस्य	जरासन्ध{पुं;6;एक}	जरासन्ध{पुं;6;एक}	षष्ठीसम्बन्धः,22	षष्ठीसम्बन्धः,22	N6	जरासन्ध_के					
21	च	4	चात्मजा	च{अव्य}	च{अव्य}	सम्बन्धः,22	सम्बन्धः,22	NA	और					
22	आत्मजा			आत्मजा{स्त्री;1;एक}	आत्मजा{स्त्री;1;एक}	समुच्चितः,23	समुच्चितः,23	N1	पुत्री					
23	किङ्कराः	5	किङ्कराः	किङ्कर{पुं;1;बहु}/किङ्करा{स्त्री;1;बहु}/किङ्करा{स्त्री;2;बहु}	किङ्कर{पुं;1;बहु}	कर्ता,25	कर्ता,25	N1	किङ्कर					
24	स्म	6	स्मोपतिष्ठन्ति	स्म{अव्य}	स्म{अव्य}	सम्बन्धः,25	सम्बन्धः,25	NA	-					
25	उपतिष्ठन्ति			उप_ष्था1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;ष्था;:भ्वादिः}/उपतिष्ठत्{नपुं;1;बहु(ष्था1;शतृ_लट्;ष्था;:भ्वादिः)}/उपतिष्ठत्{नपुं;2;बहु(ष्था1;शतृ_लट्;ष्था;:भ्वादिः)}	उप_ष्था1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;ष्था;:भ्वादिः}	अभिहित_कर्ता,19;सकर्मक	अभिहित_कर्ता,19;सकर्मक	KP	उप_ष्था1_प्प्_स्क्ते_हैं					
26	सर्वाः	7	सर्वाः	सर्वा{सर्वनाम;स्त्री;1;बहु}/सर्वा{सर्वनाम;स्त्री;2;बहु}	सर्वा{सर्वनाम;स्त्री;1;बहु}	विशेषणम्,23	विशेषणम्,23	N1	सर्वा					
27	सुबलजां	8	सुबलजां	सुबलजाम्}	सुबलजाम्{स्त्री;2;एक}	कर्म,25	कर्म,25	N2						
28	तथा	9	तथा	तथा{अव्य}	तथा{अव्य}	सम्बन्धः,26	सम्बन्धः,26	NA	वैसे					
29	.	-	-	-	-	-	-	FS	-					
