index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	English_meaning	samAsa	prayoga	sarvanAma	Name-classification
														
1.1	गान्धारी	1	गान्धारी	गान्धारी{स्त्री;1;एक}/गान्धारि{पुं;1;द्वि}/गान्धारि{पुं;2;द्वि}/गान्धारि{पुं;8;द्वि}	गान्धारी{स्त्री;1;एक}	कर्ता,9.1	कर्ता,9.1	N1	गान्धारी					
2.1	च	2	च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,1.1	समुच्चय_द्योतकः,1.1	NA	और					
3.1	महाभागा	3	महाभागा	महाभागा{स्त्री;1;एक}	महाभागा{स्त्री;1;एक}	विशेषणम्,1.1	विशेषणम्,1.1	N1	महाभागा					
4.1	प्राज्ञा	4	प्राज्ञा	प्राज्ञा{स्त्री;1;एक}	प्राज्ञा{स्त्री;1;एक}	विशेषणम्,1.1	विशेषणम्,1.1	N1	प्राज्ञा					
5.1	करुण-		करुण-वेदिनी	करुण	करुण	U,5.2	U,5.2	CP						
5.2	वेदिनी	5		वेदिन्{नपुं;1;द्वि}/वेदिन्{नपुं;2;द्वि}/वेदिन्{नपुं;8;द्वि}/वेदि{नपुं;8;द्वि}/वेदि{नपुं;1;द्वि}/वेदि{नपुं;2;द्वि}/वेदिनी{स्त्री;1;एक}	वेदिनी{स्त्री;1;एक}	विशेषणम्,1.1	विशेषणम्,1.1	N1	अनुकम्पा-ज्ञाता					
6.1	पुत्र-		पुत्र-शोकम्	पुत्र	पुत्र	T6,6.2	T6,6.2	CP						
6.2	शोकम्	6		शोक{पुं;2;एक}/शोक{नपुं;1;एक}/शोक{नपुं;2;एक}	शोक{पुं;2;एक}	कर्म,9.1	कर्म,9.1	N2	पुत्र-शोक_को					
7.1	महा-		महा-राजः	महा	महा	T1,7.2	T1,7.2	CP						
7.2	राजः	7		राज{पुं;1;एक}	राज{पुं;1;एक}	समुच्चितः,1.1	समुच्चितः,1.1	N1	चमको					
8.1	धैर्येण	8	धैर्येण	धैर्य{नपुं;3;एक}	धैर्य{नपुं;3;एक}	क्रियाविशेषणम्,9.1	क्रियाविशेषणम्,9.1	N3	धैर्य_से					
9.1	उद्वहते		उद्वहते	उत्_वह्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;वहँ;:भ्वादिः}/उद्वहत्{पुं;4;एक(वह्1;शतृ_लट्;वहँ;:भ्वादिः)}/उद्वहत्{नपुं;4;एक(वह्1;शतृ_लट्;वहँ;:भ्वादिः)}	उत्_वह्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;वहँ;:भ्वादिः}	अभिहित_कर्ता,1.1;सकर्मक	अभिहित_कर्ता,1.1;सकर्मक	KP	उठाता_है					
10.1	भृशम्	9	भृशम्	भृशम्{अव्य}/भृश{नपुं;1;एक}/भृश{नपुं;2;एक}	भृशम्{अव्य}	क्रियाविशेषणम्,9.1	क्रियाविशेषणम्,9.1	NA						
11.1	.	.	-	-	-	-	-	FS	-					
